office_cubicles,office
crosswalk,street
highway,street
raceway,street
street,street
driveway,street
corridor,corridor
jail_cell,jail_cell
classroom,classroom
kindergarden_classroom,classroom
bus_interior,car_interior
car_interior,car_interior
bookstore,store
beauty_salon,store
booth/indoor,store
television_studio,store
hardware_store,store
pet_shop,store
toyshop,store
shoe_shop,store
department_store,store
phone_booth,store
department_store,store
car_interior,parking_lot
parking_garage/indoor,parking_lot
parking_lot,parking_lot
elevator_shaft,elevator_shaft
subway_station/platform,subway_station
gas_station,gas_station
server_room,server_room
construction_site,construction_site
bowling_alley,amusement_arcade
amusement_arcade,amusement_arcade
televison_studio,lounge
ice_skating_rink,stadium
